X,Y,Z
-105.64819444453164,39.65097222252792,3520.266357421875
-105.64763888897556,39.65097222252792,3506.365966796875
-105.64708333341949,39.65097222252792,3483.404052734375
-105.64652777786341,39.65097222252792,3460.072998046875
-105.64597222230735,39.65097222252792,3439.7373046875
-105.64513888897324,39.65097222252792,3411.529541015625
-105.64458333341716,39.65097222252792,3388.697509765625
-105.6440277778611,39.65097222252792,3363.973876953125
-105.64347222230502,39.65097222252792,3341.397216796875
-105.64291666674895,39.65097222252792,3324.27392578125
-105.64236111119288,39.65097222252792,3315.83935546875
-105.64152777785877,39.65097222252792,3312.917724609375
-105.6409722223027,39.65097222252792,3311.926025390625
-105.64041666674663,39.65097222252792,3312.981689453125
-105.63986111119056,39.65097222252792,3315.1689453125
-105.63930555563448,39.65097222252792,3322.099365234375
-105.63847222230038,39.65097222252792,3339.223388671875
-105.6379166667443,39.65097222252792,3348.066650390625
-105.63736111118823,39.65097222252792,3354.153564453125
-105.63680555563217,39.65097222252792,3361.683349609375
-105.63625000007609,39.65097222252792,3368.641357421875
-105.63569444452001,39.65097222252792,3375.8154296875
-105.63486111118591,39.65097222252792,3391.39404296875
-105.63430555562984,39.65097222252792,3406.09423828125
-105.63375000007376,39.65097222252792,3423.61328125
-105.63319444451768,39.65097222252792,3441.62548828125
-105.63263888896162,39.65097222252792,3457.88232421875
-105.63208333340555,39.65097222252792,3474.33349609375
-105.63125000007143,39.65097222252792,3500.364990234375
-105.63069444451537,39.65097222252792,3514.620361328125
-105.6301388889593,39.65097222252792,3520.070556640625
-105.62958333340322,39.65097222252792,3508.3212890625
-105.62902777784716,39.65097222252792,3492.8544921875
-105.62819444451304,39.65097222252792,3473.40576171875
-105.62763888895697,39.65097222252792,3459.438720703125
-105.6270833334009,39.65097222252792,3442.366943359375
-105.62652777784483,39.65097222252792,3417.9716796875
-105.62597222228875,39.65097222252792,3389.385986328125
-105.62541666673269,39.65097222252792,3369.539794921875
-105.62458333339858,39.65097222252792,3354.16455078125
-105.6240277778425,39.65097222252792,3346.984375
-105.62347222228644,39.65097222252792,3339.698486328125
-105.62291666673036,39.65097222252792,3332.528564453125
-105.62236111117429,39.65097222252792,3325.64306640625
-105.62152777784019,39.65097222252792,3318.402587890625
-105.62097222228411,39.65097222252792,3314.197265625
-105.62041666672803,39.65097222252792,3314.16162109375
-105.61986111117196,39.65097222252792,3316.264892578125
-105.6193055556159,39.65097222252792,3317.716064453125
-105.61875000005982,39.65097222252792,3313.06689453125
-105.6179166667257,39.65097222252792,3284.691162109375
-105.61736111116964,39.65097222252792,3271.549560546875
-105.61680555561357,39.65097222252792,3257.70703125
-105.61625000005749,39.65097222252792,3236.96484375
-105.61569444450143,39.65097222252792,3223.9658203125
-105.61513888894535,39.65097222252792,3210.0625
-105.61430555561124,39.65097222252792,3166.3037109375
-105.61375000005518,39.65097222252792,3149.574462890625
-105.6131944444991,39.65097222252792,3145.714111328125
-105.61263888894302,39.65097222252792,3149.176025390625
-105.61208333338696,39.65097222252792,3165.90576171875
-105.61125000005285,39.65097222252792,3175.846923828125
-105.61069444449677,39.65097222252792,3196.008544921875
-105.61013888894071,39.65097222252792,3217.635009765625
-105.60958333338463,39.65097222252792,3236.942138671875
-105.60902777782856,39.65097222252792,3277.4501953125
-105.60847222227248,39.65097222252792,3309.999267578125
-105.60763888893838,39.65097222252792,3336.7578125
-105.6070833333823,39.65097222252792,3353.183837890625
-105.60652777782623,39.65097222252792,3367.91650390625
-105.60597222227017,39.65097222252792,3371.810302734375
-105.60541666671409,39.65097222252792,3372.65478515625
-105.60458333337998,39.65097222252792,3373.806396484375
-105.60402777782392,39.65097222252792,3375.87939453125
-105.60347222226784,39.65097222252792,3378.23681640625
-105.60291666671176,39.65097222252792,3381.571533203125
-105.6023611111557,39.65097222252792,3385.185546875
-105.60180555559963,39.65097222252792,3389.213623046875
-105.60097222226551,39.65097222252792,3392.115234375
-105.60041666670945,39.65097222252792,3395.291015625
-105.59986111115337,39.65097222252792,3392.4443359375
-105.5993055555973,39.65097222252792,3389.311767578125
-105.59875000004124,39.65097222252792,3383.451416015625
-105.59819444448516,39.65097222252792,3380.531494140625
-105.59736111115105,39.65097222252792,3373.602294921875
-105.59680555559498,39.65097222252792,3370.329833984375
-105.5962500000389,39.65097222252792,3368.111083984375
-105.59569444448283,39.65097222252792,3366.279296875
-105.59513888892675,39.65097222252792,3362.710205078125
-105.59430555559265,39.65097222252792,3359.623779296875
-105.59375000003658,39.65097222252792,3360.012451171875
-105.5931944444805,39.65097222252792,3360.23095703125
-105.59263888892444,39.65097222252792,3359.134033203125
-105.59208333336836,39.65097222252792,3358.25
-105.59152777781229,39.65097222252792,3357.332275390625
-105.59069444447819,39.65097222252792,3358.653076171875
-105.59013888892211,39.65097222252792,3359.6591796875
-105.58958333336604,39.65097222252792,3359.43701171875
-105.58902777780997,39.65097222252792,3361.800537109375
-105.5884722222539,39.65097222252792,3360.031982421875
-105.58763888891978,39.65097222252792,3355.141845703125
-105.58708333336372,39.65097222252792,3353.16552734375
